,pct_homeownership_black_alone,pct_black_loans,pct_bach_degree_or_higher_black_alone
183,50.0,0.4098360655737705,22.8
188,67.9,3.945745992601726,26.9
191,100.0,0.4524886877828055,2.4
193,100.0,1.3333333333333335,0.0
198,21.8,0.3021148036253776,7.0
199,52.2,0.25,40.9
200,59.5,2.380952380952381,0.0
201,43.1,0.9009009009009009,20.0
204,34.4,1.9815059445178336,13.5
208,100.0,0.5050505050505051,87.7
209,73.7,0.7843137254901961,28.0
210,2.2,1.1450381679389312,5.7
211,18.3,3.065134099616858,17.4
212,46.9,8.522727272727272,9.7
213,19.8,1.8276762402088773,24.7
214,41.4,15.992292870905588,12.1
215,17.8,8.455882352941178,0.9
216,23.0,2.6200873362445414,10.7
217,74.1,0.7246376811594203,4.7
218,29.1,18.235294117647058,7.1
219,46.9,19.311377245508982,15.1
220,15.9,7.761732851985561,15.1
221,22.9,2.401372212692967,32.5
222,49.2,16.135084427767353,17.9
224,38.0,5.1091500232234095,25.2
225,20.1,1.9693654266958425,36.0
226,30.1,2.2908366533864544,37.4
228,100.0,0.1855287569573284,37.9
232,38.6,0.7462686567164178,23.0
236,50.2,1.593625498007968,6.6
242,89.3,0.9111617312072893,20.2
243,32.6,1.4256619144602851,11.5
245,52.2,0.8602150537634409,11.5
258,56.1,1.8867924528301887,25.8
267,55.2,0.25316455696202533,6.3
269,12.3,1.2903225806451613,30.0
284,72.3,1.1547344110854503,22.5
285,10.5,0.5791505791505791,24.0
286,83.8,0.42016806722689076,29.7
293,27.0,0.37453183520599254,9.2
298,100.0,0.2222222222222222,0.0
301,41.9,0.5305039787798408,0.0
304,52.3,1.1406844106463878,28.7
306,62.6,0.13774104683195593,36.3
307,48.7,0.22988505747126436,47.8
308,57.8,0.6968641114982579,36.0
309,100.0,10.344827586206897,0.0
314,21.2,0.6349206349206349,26.7
315,51.1,0.9852216748768473,20.3
318,97.4,0.9090909090909091,0.0
324,53.7,3.0837004405286343,19.4
329,24.6,1.2345679012345678,0.0
332,47.8,0.6224066390041494,34.9
335,96.9,4.761904761904762,0.0
336,45.9,0.8620689655172413,43.2
337,81.5,0.3597122302158274,18.0
340,36.1,0.36496350364963503,0.0
342,82.1,0.45351473922902497,28.8
349,34.7,1.2224938875305624,7.5
353,24.7,0.33557046979865773,0.0
359,0.0,1.2048192771084338,0.7
361,0.0,1.2658227848101267,0.0
365,12.8,4.096385542168675,50.5
366,34.8,7.547169811320755,14.8
367,54.7,10.9404990403071,15.0
